Date,Open,High,Low,Close,Adj Close,Volume
2016-06-08,28380,28380,27780,28120,24342.65625,18808100
2016-06-09,28160,28600,28120,28600,24758.18164,25768750
2016-06-10,28480,28500,28080,28120,24342.65625,14484050
2016-06-13,27920,27920,27240,27420,23736.68555,15248300
2016-06-14,27420,27720,27380,27600,23892.50586,12273050
2016-06-15,27700,28320,27660,28260,24463.84766,15334450
2016-06-16,28260,28340,27900,28180,24394.59375,14621550
2016-06-17,28200,28700,28200,28520,24688.92188,16419700
2016-06-20,28540,28960,28520,28620,24775.49023,13515800
2016-06-21,28640,28980,28520,28960,25069.81641,10020550
2016-06-22,28920,29000,28620,28900,25017.875,8948250
2016-06-23,28880,28900,28540,28600,24758.18164,11256300
2016-06-24,28900,28900,27200,28000,24238.77344,20552600
2016-06-27,28000,28100,27700,27960,24204.14844,11839000
2016-06-28,27800,28080,27580,27980,24221.46484,10718950
2016-06-29,28160,28240,27820,27920,24186.80859,10527050
2016-06-30,28160,28900,27940,28500,24689.25586,13671700
2016-07-01,28540,29580,28540,29320,25399.61328,14393600
2016-07-04,29280,29480,29020,29320,25399.61328,7995000
2016-07-05,29320,29500,29240,29380,25451.59375,7870350
2016-07-06,28940,29040,28240,28420,24619.95313,16749150
2016-07-07,28420,29000,28320,29000,25122.40039,11495200
2016-07-08,29000,29500,28980,29200,25295.6582,13498150
2016-07-11,29200,30000,29200,29780,25798.10352,14056800
2016-07-12,29980,30100,29200,29280,25364.96289,11024700
2016-07-13,29920,29920,29260,29620,25659.5,10009900
2016-07-14,29620,30000,29520,30000,25988.69336,12430250
2016-07-15,30000,30440,29720,30360,26300.55859,11623150
2016-07-18,30360,30660,30000,30660,26560.44336,11567200
2016-07-19,30560,30800,30440,30660,26560.44336,10122250
2016-07-20,30660,30840,30480,30800,26681.72266,7773150
2016-07-21,30800,30940,30740,30860,26733.69922,8544700
2016-07-22,30120,30560,30120,30320,26265.9082,8585150
2016-07-25,30000,30460,29900,30040,26023.33984,7732500
2016-07-26,30000,30620,29960,30600,26508.46484,7228500
2016-07-27,30240,30580,30240,30540,26456.48633,6335050
2016-07-28,30660,30720,29960,30140,26109.9707,9503700
2016-07-29,30400,31140,30220,30780,26664.39648,14985600
2016-08-01,31380,31600,31200,31360,27166.85156,11515400
2016-08-02,31360,31360,30920,30960,26820.32813,8315800
2016-08-03,30960,30960,30340,30340,26283.22656,7504900
2016-08-04,30380,30660,30340,30340,26283.22656,7009950
2016-08-05,30580,31280,30500,31220,27045.57227,6958850
2016-08-08,31320,31500,31120,31380,27184.16992,11125150
2016-08-09,31480,31580,31140,31340,27149.51758,9023200
2016-08-10,31340,31400,30680,30820,26699.05078,12340350
2016-08-11,30820,31180,30520,31180,27010.91602,10533600
2016-08-12,31180,31400,30880,30900,26768.35547,10474850
2016-08-16,30900,31520,30900,31360,27166.85156,10843100
2016-08-17,31380,31400,31020,31320,27132.19141,7446450
2016-08-18,31340,32880,31320,32800,28414.30078,18327050
2016-08-19,32760,33500,32720,33500,29020.70313,16805150
2016-08-22,33480,33840,33180,33300,28847.44922,12612200
2016-08-23,33300,33880,33140,33740,29228.61328,11545700
2016-08-24,33600,33640,32720,33060,28639.53906,15938550
2016-08-25,32600,33180,32440,32780,28396.98047,14173800
2016-08-26,32120,32460,32060,32240,27929.17969,12058000
2016-08-29,32040,32800,31940,32800,28414.30078,8925750
2016-08-30,32940,33420,32660,32900,28500.92773,7849600
2016-08-31,32820,32820,32220,32400,28067.78711,20532200
2016-09-01,31660,31760,31260,31740,27496.03516,18790150
2016-09-02,31900,32260,31760,31940,27669.29297,8153000
2016-09-05,31800,32300,31700,32120,27825.22461,8383800
2016-09-06,32140,32900,31940,32860,28466.2793,7660150
2016-09-07,32960,33040,32420,32420,28085.11133,9591850
2016-09-08,32460,32780,32280,32780,28396.98047,12070850
2016-09-09,32220,32360,31280,31500,27288.12891,13258400
2016-09-12,29800,30120,29120,29300,25382.28711,26499350
2016-09-13,30160,30980,29900,30540,26456.48633,24717250
2016-09-19,30760,31380,30720,31160,26993.58594,22408150
2016-09-20,31180,31760,31180,31700,27461.38477,12921150
2016-09-21,31900,32020,31520,31840,27582.66406,10509050
2016-09-22,32000,32820,31980,32360,28033.13281,11429950
2016-09-23,31640,31960,31320,31420,27218.82422,18299650
2016-09-26,31420,31920,31280,31360,27166.85156,14524800
2016-09-27,31000,31500,30660,31380,27184.16992,9834400
2016-09-28,31080,31460,31080,31340,27149.51758,8706400
2016-09-29,31460,32380,31440,32000,27721.26953,11397550
2016-09-30,31800,32300,31700,31960,27686.61719,11762700
2016-10-04,32200,32480,32120,32280,27963.82813,13053100
2016-10-05,32020,32520,31940,32380,28050.46289,12470450
2016-10-06,33920,34000,33340,33820,29297.91602,29558150
2016-10-07,34000,34320,33800,34120,29557.80859,26050550
2016-10-10,33000,33780,32560,33600,29107.33203,25293300
2016-10-11,32000,32500,30900,30900,26768.35547,38427150
2016-10-12,29900,30900,29880,30700,26595.0918,39088550
2016-10-13,31000,31620,30900,31140,26976.26172,21864550
2016-10-14,30960,31760,30940,31540,27322.77734,14158950
2016-10-17,31300,32040,30760,31800,27548.01367,12785200
2016-10-18,31440,31900,31440,31780,27530.68359,10384500
2016-10-19,31580,32860,31500,32500,28154.41797,15444550
2016-10-20,32520,33020,32180,32400,28067.78711,10330450
2016-10-21,32120,32260,31760,31780,27530.68359,10477500
2016-10-24,31860,32160,31800,32160,27859.87891,9289950
2016-10-25,32000,32080,31840,31940,27669.29297,9866100
2016-10-26,31940,31980,31240,31340,27149.51758,10534000
2016-10-27,31420,32340,31120,31460,27253.47461,14117000
2016-10-28,31600,32280,31600,32280,27963.82813,10214200
2016-10-31,32320,32780,32220,32780,28396.98047,12067200
2016-11-01,32600,33040,32240,33040,28622.21484,10347400
2016-11-02,32800,33040,32620,32860,28466.2793,10099250
2016-11-03,32600,32800,32120,32320,27998.48047,10341850
2016-11-04,32100,32680,32100,32540,28189.06641,7103850
2016-11-07,32940,33000,32680,32800,28414.30078,7661900
2016-11-08,32980,32980,32700,32880,28483.60547,5417450
2016-11-09,32920,33140,31820,31920,27651.9707,15683600
2016-11-10,32600,33000,32360,32980,28570.23828,11795350
2016-11-11,31700,32360,31700,31960,27686.61719,12836800
2016-11-14,31900,31920,31040,31060,26906.95703,15133300
2016-11-15,31060,31620,30780,30780,26664.39648,13665700
2016-11-16,30800,31280,30800,31160,26993.58594,13308200
2016-11-17,31100,31520,30900,31360,27166.85156,7870550
2016-11-18,31640,31760,31400,31720,27478.70703,9460750
2016-11-21,31300,32120,31300,31860,27599.99023,8180200
2016-11-22,32140,32900,32000,32800,28414.30078,9751100
2016-11-23,33220,33220,32520,32980,28570.23828,12668600
2016-11-24,32980,33040,32660,33000,28587.55859,7757150
2016-11-25,32820,33040,32660,33000,28587.55859,6276900
2016-11-28,33000,33620,32800,33540,29055.35352,13294050
2016-11-29,33800,33960,33380,33540,29055.35352,18081300
2016-11-30,33540,34940,33540,34920,30250.83984,28535200
2016-12-01,34800,35060,34660,34980,30302.8125,15535350
2016-12-02,34480,34760,34140,34540,29921.64648,15352950
2016-12-05,34340,34680,34220,34360,29765.70898,8484600
2016-12-06,34440,35200,34400,34960,30285.49023,14001800
2016-12-07,35040,35480,35040,35440,30701.30078,9603650
2016-12-08,35980,36020,35520,35800,31013.16797,16462550
2016-12-09,35900,35900,35400,35600,30839.91797,10652450
2016-12-12,34660,35360,34660,35040,30354.79492,11414450
